sample_id,regime,p1,p2,p3,p4,noise_type,noise_level,h1,h2,h3,h4,co01,co02,co03,co04,co05,co06,co07,co08,co09,co10,co11,co12,co13,co14,co15,co16
0,uniform,0.25,0.25,0.25,0.25,gaussian,1.5,0.17862165963431786,0.2335911861228317,0.23218471636193155,0.3556024378809189,0.023484848484848483,0.03101010101010101,0.029949494949494948,0.06818181818181818,0.03106060606060606,0.03782828282828283,0.03888888888888889,0.09176767676767676,0.03095959595959596,0.038686868686868686,0.039191919191919194,0.0890909090909091,0.06727272727272728,0.09186868686868686,0.0903030303030303,0.20045454545454544
1,uniform,0.25,0.25,0.25,0.25,gaussian,1.5,0.1753849770777007,0.23498295521335372,0.2362760079934172,0.3533560597155284,0.02202020202020202,0.029949494949494948,0.029949494949494948,0.06691919191919192,0.031464646464646466,0.03843434343434343,0.04015151515151515,0.0906060606060606,0.028131313131313132,0.041717171717171715,0.040757575757575756,0.09015151515151515,0.06762626262626263,0.08969696969696969,0.0901010101010101,0.20232323232323232
2,uniform,0.25,0.25,0.25,0.25,gaussian,1.5,0.17817841254975417,0.24104425193163193,0.22594240224771717,0.35483493327089677,0.02308080808080808,0.03196969696969697,0.029545454545454545,0.06727272727272728,0.033484848484848485,0.0401010101010101,0.03954545454545454,0.09287878787878788,0.02898989898989899,0.04035353535353536,0.03671717171717172,0.08717171717171718,0.06676767676767677,0.09358585858585859,0.08742424242424242,0.2011111111111111
3,uniform,0.25,0.25,0.25,0.25,gaussian,1.5,0.18752194779351516,0.2315345897225799,0.23024698583635725,0.3506964766475477,0.02585858585858586,0.03217171717171717,0.03232323232323232,0.07025252525252525,0.03262626262626263,0.03843434343434343,0.03888888888888889,0.08818181818181818,0.032373737373737374,0.039292929292929296,0.03782828282828283,0.08671717171717172,0.0691919191919192,0.08792929292929293,0.08777777777777777,0.20015151515151516
4,uniform,0.25,0.25,0.25,0.25,gaussian,1.5,0.18230877522290004,0.23287189113092444,0.22876583763491318,0.3560534960112623,0.025252525252525252,0.03,0.03232323232323232,0.06838383838383838,0.03080808080808081,0.039191919191919194,0.039696969696969696,0.08797979797979798,0.029646464646464647,0.03722222222222222,0.037070707070707073,0.09146464646464647,0.0697979797979798,0.09171717171717171,0.08621212121212121,0.20323232323232324
5,uniform,0.25,0.25,0.25,0.25,gaussian,1.5,0.18934980191097647,0.2315311116289909,0.22570496387788394,0.35341412258214866,0.026313131313131313,0.03116161616161616,0.03196969696969697,0.07358585858585859,0.032373737373737374,0.03984848484848485,0.03898989898989899,0.08702020202020203,0.03222222222222222,0.03722222222222222,0.037626262626262626,0.08606060606060606,0.07176767676767677,0.0901010101010101,0.08510101010101011,0.19863636363636364
6,uniform,0.25,0.25,0.25,0.25,gaussian,1.5,0.18515059537707215,0.23044594910109736,0.22927854307728227,0.3551249124445482,0.024444444444444446,0.031414141414141415,0.03313131313131313,0.06964646464646465,0.03227272727272727,0.038535353535353534,0.03747474747474747,0.08868686868686869,0.03156565656565657,0.03727272727272727,0.03848484848484848,0.0891919191919192,0.07025252525252525,0.0903030303030303,0.08727272727272728,0.20005050505050506
7,uniform,0.25,0.25,0.25,0.25,gaussian,1.5,0.18073128264654673,0.23203714451538016,0.23366221706326176,0.35356935577481136,0.02313131313131313,0.030707070707070707,0.031414141414141415,0.07075757575757576,0.02914141414141414,0.04040404040404041,0.03904040404040404,0.09126262626262627,0.03161616161616162,0.0405050505050505,0.04095959595959596,0.08767676767676767,0.07131313131313131,0.08823232323232323,0.0897979797979798,0.19404040404040404
8,uniform,0.25,0.25,0.25,0.25,gaussian,1.5,0.17844171060339778,0.237609841827768,0.23725834797891038,0.34669009958992386,0.023181818181818182,0.030656565656565656,0.030454545454545453,0.06787878787878789,0.031212121212121212,0.039292929292929296,0.041212121212121214,0.09085858585858586,0.03126262626262626,0.0398989898989899,0.040757575757575756,0.09065656565656566,0.06681818181818182,0.09292929292929293,0.0902020202020202,0.19272727272727272
9,uniform,0.25,0.25,0.25,0.25,gaussian,1.5,0.17839225294598063,0.23357834558394586,0.24046202310115505,0.34756737836891843,0.024444444444444446,0.03106060606060606,0.03232323232323232,0.065,0.028181818181818183,0.03939393939393939,0.042272727272727274,0.0902020202020202,0.03333333333333333,0.04111111111111111,0.041212121212121214,0.0902020202020202,0.06661616161616161,0.08863636363636364,0.09080808080808081,0.1952020202020202
