sample_id,regime,p1,p2,p3,p4,noise_type,noise_level,h1,h2,h3,h4,co01,co02,co03,co04,co05,co06,co07,co08,co09,co10,co11,co12,co13,co14,co15,co16
0,uniform,0.25,0.25,0.25,0.25,gaussian,0.5,0.22053152683689423,0.25273579989577905,0.26253256904637834,0.2642001042209484,0.04287878787878788,0.05025252525252525,0.054646464646464644,0.06348484848484849,0.051666666666666666,0.059494949494949496,0.06126262626262626,0.07055555555555555,0.0547979797979798,0.0597979797979798,0.0644949494949495,0.07282828282828283,0.06202020202020202,0.07303030303030303,0.07136363636363637,0.08742424242424242
1,uniform,0.25,0.25,0.25,0.25,gaussian,0.5,0.22769390942217596,0.2541384695471109,0.2584070796460177,0.25976054138469545,0.04974747474747475,0.052121212121212124,0.05282828282828283,0.06419191919191919,0.05348484848484848,0.0596969696969697,0.06075757575757576,0.07025252525252525,0.0543939393939394,0.06015151515151515,0.06121212121212121,0.07217171717171718,0.06116161616161616,0.07166666666666667,0.07373737373737374,0.08242424242424243
2,uniform,0.25,0.25,0.25,0.25,gaussian,0.5,0.21792069934436467,0.259236132792174,0.26527214070142574,0.2575710271620356,0.0445959595959596,0.05398989898989899,0.05146464646464646,0.05924242424242424,0.05247474747474747,0.061464646464646465,0.06353535353535354,0.07181818181818182,0.052575757575757574,0.06232323232323232,0.06702020202020202,0.07313131313131313,0.059848484848484845,0.07181818181818182,0.07232323232323232,0.08237373737373738
3,uniform,0.25,0.25,0.25,0.25,gaussian,0.5,0.21333610303282094,0.2583090984628168,0.2699418363107603,0.258412962193602,0.04358585858585859,0.05065656565656566,0.05207070707070707,0.05929292929292929,0.051565656565656565,0.06353535353535354,0.06348484848484849,0.0708080808080808,0.052575757575757574,0.06505050505050505,0.06994949494949496,0.07212121212121213,0.05762626262626263,0.06904040404040404,0.07459595959595959,0.08404040404040404
4,uniform,0.25,0.25,0.25,0.25,gaussian,0.5,0.2180513673702818,0.2526775501715712,0.2608921701154206,0.26837891234272643,0.04732323232323232,0.047525252525252526,0.05292929292929293,0.06207070707070707,0.04904040404040404,0.06075757575757576,0.06075757575757576,0.07232323232323232,0.05080808080808081,0.06393939393939393,0.06308080808080808,0.07272727272727272,0.06212121212121212,0.07106060606060606,0.073989898989899,0.08954545454545454
5,uniform,0.25,0.25,0.25,0.25,gaussian,0.5,0.22034428794992175,0.2597809076682316,0.25289514866979657,0.26697965571205007,0.04555555555555556,0.05232323232323232,0.052626262626262625,0.06085858585858586,0.05227272727272727,0.06207070707070707,0.061969696969696966,0.07252525252525252,0.05247474747474747,0.06075757575757576,0.05762626262626263,0.07207070707070708,0.06111111111111111,0.0740909090909091,0.07065656565656565,0.09101010101010101
6,uniform,0.25,0.25,0.25,0.25,gaussian,0.5,0.21350307836794324,0.2620265052697485,0.2616090994469373,0.26286131691537096,0.04212121212121212,0.052222222222222225,0.05,0.06025252525252525,0.051616161616161615,0.06282828282828283,0.06287878787878788,0.07424242424242425,0.049494949494949494,0.06429292929292929,0.06313131313131314,0.07333333333333333,0.06136363636363636,0.07171717171717172,0.075,0.0855050505050505
7,uniform,0.25,0.25,0.25,0.25,gaussian,0.5,0.2224653537563822,0.2633114514952589,0.26049807231426486,0.253725122434094,0.04464646464646465,0.05348484848484848,0.053585858585858584,0.06161616161616162,0.053737373737373736,0.0647979797979798,0.06267676767676768,0.07101010101010101,0.05338383838383838,0.06328282828282829,0.06353535353535354,0.07015151515151515,0.06156565656565657,0.07126262626262626,0.07005050505050504,0.08121212121212121
8,uniform,0.25,0.25,0.25,0.25,gaussian,0.5,0.2192295646727216,0.26411942791523124,0.25535024532832235,0.2613007620837248,0.043282828282828284,0.04974747474747475,0.052676767676767676,0.06439393939393939,0.05313131313131313,0.06444444444444444,0.06409090909090909,0.07161616161616162,0.05136363636363636,0.06404040404040404,0.05818181818181818,0.0705050505050505,0.06227272727272727,0.07444444444444444,0.0698989898989899,0.08590909090909091
9,uniform,0.25,0.25,0.25,0.25,gaussian,0.5,0.21978364884543375,0.2643020594965675,0.2577491158726857,0.25816517578531306,0.04388888888888889,0.05338383838383838,0.052525252525252523,0.061515151515151516,0.05449494949494949,0.06540404040404041,0.06257575757575758,0.0707070707070707,0.05237373737373737,0.06297979797979798,0.06378787878787878,0.0692929292929293,0.060505050505050506,0.07232323232323232,0.06909090909090909,0.08515151515151514
10,class1_heavy,0.55,0.15,0.15,0.15,gaussian,0.5,0.4415541652946987,0.24058829985731534,0.15486774228954012,0.16298979255844584,0.1651010101010101,0.08727272727272728,0.05611111111111111,0.0936868686868687,0.08525252525252525,0.050606060606060606,0.03,0.05348484848484848,0.05661616161616161,0.0297979797979798,0.020858585858585858,0.03378787878787879,0.0951010101010101,0.05176767676767677,0.03424242424242424,0.056313131313131315
11,class1_heavy,0.55,0.15,0.15,0.15,gaussian,0.5,0.4353533143732225,0.23397506016189018,0.1679063662218333,0.16276525924305404,0.15651515151515152,0.08373737373737374,0.0646969696969697,0.09267676767676768,0.0857070707070707,0.04666666666666667,0.03126262626262626,0.05025252525252525,0.062424242424242424,0.033434343434343435,0.022323232323232325,0.03565656565656566,0.09338383838383839,0.0503030303030303,0.03505050505050505,0.05590909090909091
